ID	Name	Equation	Definition	Genes
rxn01465_c0	(S)-dihydroorotate amidohydrolase_c0	(1) cpd00001[c0] + (1) cpd00282[c0] <=> (1) cpd00067[c0] + (1) cpd00343[c0]	(1) H2O_c0[c0] + (1) S-Dihydroorotate_c0[c0] <=> (1) H+_c0[c0] + (1) N-Carbamoyl-L-aspartate_c0[c0]	fig|6666666.1394842.peg.1763
rxn03052_c0	5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase_c0	(1) cpd00135[c0] + (1) cpd02738[c0] <=> (1) cpd00060[c0] + (1) cpd02555[c0]	(1) Homocysteine_c0[c0] + (1) 5-Methyltetrahydropteroyltri-L-glutamate_c0[c0] <=> (1) L-Methionine_c0[c0] + (1) Tetrahydropteroyltri-L-glutamate_c0[c0]	fig|6666666.1394842.peg.1267
rxn01872_c0	succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase_c0	(1) cpd00078[c0] + (1) cpd00449[c0] <=> (1) cpd00010[c0] + (1) cpd00860[c0]	(1) Succinyl-CoA_c0[c0] + (1) Dihydrolipoamide_c0[c0] <=> (1) CoA_c0[c0] + (1) S-Succinyldihydrolipoamide_c0[c0]	fig|6666666.1394842.peg.1257
rxn01301_c0	L-Homoserine:NAD+ oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd00227[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd00346[c0]	(1) NAD_c0[c0] + (1) L-Homoserine_c0[c0] <=> (1) NADH_c0[c0] + (1) H+_c0[c0] + (1) L-Aspartate4-semialdehyde_c0[c0]	(fig|6666666.1394842.peg.1315 or fig|6666666.1394842.peg.1315)
rxn01643_c0	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)_c0	(1) cpd00006[c0] + (1) cpd00009[c0] + (1) cpd00346[c0] <= (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd01977[c0]	(1) NADP_c0[c0] + (1) Phosphate_c0[c0] + (1) L-Aspartate4-semialdehyde_c0[c0] <= (1) NADPH_c0[c0] + (1) H+_c0[c0] + (1) 4-Phospho-L-aspartate_c0[c0]	(fig|6666666.1394842.peg.305 or fig|6666666.1394842.peg.305)
rxn04457_c0	R06605_c0	(1) cpd09027[c0] => (1) cpd00011[c0] + (1) cpd01567[c0]	(1) 5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate_c0[c0] => (1) CO2_c0[c0] + (1) (R)-Allantoin_c0[c0]	Unknown
rxn02969_c0	R04258_c0	(1) cpd00007[c0] + (1) cpd01586[c0] <=> (2) cpd00067[c0] + (1) cpd02254[c0]	(1) O2_c0[c0] + (1) 4-Chlorocatechol_c0[c0] <=> (2) H+_c0[c0] + (1) 3-Chloro-cis,cis-muconate_c0[c0]	fig|6666666.1394842.peg.2430
rxn00248_c0	(S)-malate:NAD+ oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd00130[c0] <=> (1) cpd00004[c0] + (1) cpd00032[c0] + (1) cpd00067[c0]	(1) NAD_c0[c0] + (1) L-Malate_c0[c0] <=> (1) NADH_c0[c0] + (1) Oxaloacetate_c0[c0] + (1) H+_c0[c0]	(fig|6666666.1394842.peg.2408 or fig|6666666.1394842.peg.2408)
rxn00295_c0	UDP-N-acetyl-D-glucosamine 4-epimerase_c0	(1) cpd00037[c0] <=> (1) cpd00175[c0]	(1) UDP-N-acetylglucosamine_c0[c0] <=> (1) UDP-N-acetyl-D-galactosamine_c0[c0]	(fig|6666666.1394842.peg.634 or fig|6666666.1394842.peg.379 or fig|6666666.1394842.peg.1860)
rxn00499_c0	(S)-Lactate:NAD+ oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd00159[c0] <=> (1) cpd00004[c0] + (1) cpd00020[c0] + (1) cpd00067[c0]	(1) NAD_c0[c0] + (1) L-Lactate_c0[c0] <=> (1) NADH_c0[c0] + (1) Pyruvate_c0[c0] + (1) H+_c0[c0]	((fig|6666666.1394842.peg.3072 or fig|6666666.1394842.peg.3064) or (fig|6666666.1394842.peg.3072 or fig|6666666.1394842.peg.3064))
rxn08844_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)_c0	(1) cpd00001[c0] + (1) cpd15342[c0] <=> (1) cpd00067[c0] + (1) cpd00908[c0] + (1) cpd15269[c0]	(1) H2O_c0[c0] + (1) 2-Acyl-sn-glycero-3-phosphoethanolamine octadec-11-enoyl_c0[c0] <=> (1) H+_c0[c0] + (1) Glycerophosphoethanolamine_c0[c0] + (1) octadecenoate_c0[c0]	(fig|6666666.1394842.peg.1948 or fig|6666666.1394842.peg.2703)
rxn00707_c0	ITP:cytidine 5'-phosphotransferase_c0	(1) cpd00068[c0] + (1) cpd00367[c0] <=> (1) cpd00046[c0] + (1) cpd00067[c0] + (1) cpd00090[c0]	(1) ITP_c0[c0] + (1) Cytidine_c0[c0] <=> (1) CMP_c0[c0] + (1) H+_c0[c0] + (1) IDP_c0[c0]	fig|6666666.1394842.peg.1563
rxn06937_c0	L-glutamate:tRNA(Glu) ligase (AMP-forming)_c0	(1) cpd00002[c0] + (1) cpd00023[c0] + (1) cpd11912[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd00067[c0] + (1) cpd12227[c0]	(1) ATP_c0[c0] + (1) L-Glutamate_c0[c0] + (1) tRNA-Glu_c0[c0] => (1) PPi_c0[c0] + (1) AMP_c0[c0] + (1) H+_c0[c0] + (1) L-Glutamyl-tRNA-Glu_c0[c0]	fig|6666666.1394842.peg.1425
rxn14017_c0	sn-glycerol 3-phosphate:ubiquinone oxidoreductase_c0	(1) cpd00080[c0] + (1) cpd11669[c0] <=> (1) cpd00095[c0] + (1) cpd11665[c0]	(1) Glycerol-3-phosphate_c0[c0] + (1) Q_c0[c0] <=> (1) Glycerone-phosphate_c0[c0] + (1) QH2_c0[c0]	fig|6666666.1394842.peg.1797
rxn03095_c0	Taurodeoxycholate amidohydrolase_c0	(1) cpd00001[c0] + (1) cpd03244[c0] <=> (1) cpd00210[c0] + (1) cpd02733[c0]	(1) H2O_c0[c0] + (1) Taurodeoxycholate_c0[c0] <=> (1) Taurine_c0[c0] + (1) Deoxycholate_c0[c0]	fig|6666666.1394842.peg.1915
rxn00708_c0	Uridine 5'-monophosphate phosphohydrolase_c0	(1) cpd00001[c0] + (1) cpd00091[c0] => (1) cpd00009[c0] + (1) cpd00249[c0]	(1) H2O_c0[c0] + (1) UMP_c0[c0] => (1) Phosphate_c0[c0] + (1) Uridine_c0[c0]	fig|6666666.1394842.peg.384
rxn00289_c0	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)_c0	(1) cpd02799[c0] <=> (1) cpd00020[c0] + (1) cpd00036[c0]	(1) Methylisocitrate_c0[c0] <=> (1) Pyruvate_c0[c0] + (1) Succinate_c0[c0]	(fig|6666666.1394842.peg.775 or fig|6666666.1394842.peg.2359 or fig|6666666.1394842.peg.734)
rxn03762_c0	R05465_c0	(1) cpd00051[c0] + (1) cpd00102[c0] <=> (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd04058[c0]	(1) L-Arginine_c0[c0] + (1) Glyceraldehyde3-phosphate_c0[c0] <=> (1) Phosphate_c0[c0] + (1) H+_c0[c0] + (1) L-N2-(2-Carboxyethyl)arginine_c0[c0]	fig|6666666.1394842.peg.2693
rxn00392_c0	ATP:riboflavin 5'-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00220[c0] <=> (1) cpd00008[c0] + (1) cpd00050[c0] + (1) cpd00067[c0]	(1) ATP_c0[c0] + (1) Riboflavin_c0[c0] <=> (1) ADP_c0[c0] + (1) FMN_c0[c0] + (1) H+_c0[c0]	(fig|6666666.1394842.peg.1920 and fig|6666666.1394842.peg.1920)
rxn00747_c0	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	(1) cpd00102[c0] <=> (1) cpd00095[c0]	(1) Glyceraldehyde3-phosphate_c0[c0] <=> (1) Glycerone-phosphate_c0[c0]	(fig|6666666.1394842.peg.199 or fig|6666666.1394842.peg.1738)
rxn01334_c0	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0	(1) cpd00349[c0] <=> (1) cpd00095[c0] + (1) cpd00236[c0]	(1) Sedoheptulose 1,7-bisphosphate_c0[c0] <=> (1) Glycerone-phosphate_c0[c0] + (1) D-Erythrose4-phosphate_c0[c0]	fig|6666666.1394842.peg.2912
rxn00830_c0	Isopentenyl-diphosphate delta3-delta2-isomerase_c0	(1) cpd00113[c0] <=> (1) cpd00202[c0]	(1) Isopentenyldiphosphate_c0[c0] <=> (1) DMAPP_c0[c0]	fig|6666666.1394842.peg.2332
rxn05219_c0	nonpolar-amino-acid-transporting ATPase_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00060[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00060[c0] + (1) cpd00067[c0]	(1) H2O_c0[c0] + (1) ATP_c0[c0] + (1) L-Methionine_e0[e0] => (1) ADP_c0[c0] + (1) Phosphate_c0[c0] + (1) L-Methionine_c0[c0] + (1) H+_c0[c0]	(fig|6666666.1394842.peg.711 and fig|6666666.1394842.peg.713 and Unknown)
rxn10113_c0	cytochrome oxidase bo3 (ubiquinol-8: 2.5 protons)_c0	(0.5) cpd00007[c0] + (2.5) cpd00067[c0] + (1) cpd15561[c0] => (1) cpd00001[c0] + (2.5) cpd00067[e0] + (1) cpd15560[c0]	(0.5) O2_c0[c0] + (2.5) H+_c0[c0] + (1) Ubiquinol-8_c0[c0] => (1) H2O_c0[c0] + (2.5) H+_e0[e0] + (1) Ubiquinone-8_c0[c0]	((fig|6666666.1394842.peg.1283 and fig|6666666.1394842.peg.1282) or (Unknown and Unknown and Unknown and Unknown and fig|6666666.1394842.peg.435) or (Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and fig|6666666.1394842.peg.2222))
rxn00879_c0	myo-Inositol:NAD+ 2-oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd00121[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd00524[c0]	(1) NAD_c0[c0] + (1) L-Inositol_c0[c0] <=> (1) NADH_c0[c0] + (1) H+_c0[c0] + (1) 2-Inosose_c0[c0]	(fig|6666666.1394842.peg.3294 or fig|6666666.1394842.peg.205 or fig|6666666.1394842.peg.201 or fig|6666666.1394842.peg.198)
rxn03406_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-_c0	(1) cpd00002[c0] + (1) cpd00013[c0] + (1) cpd03487[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd03488[c0]	(1) ATP_c0[c0] + (1) NH3_c0[c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine_c0[c0] => (1) ADP_c0[c0] + (1) Phosphate_c0[c0] + (1) H+_c0[c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine_c0[c0]	(fig|6666666.1394842.peg.2259 or fig|6666666.1394842.peg.2244)
rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)_c0	(2) cpd00338[c0] => (2) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd00689[c0]	(2) 5-Aminolevulinate_c0[c0] => (2) H2O_c0[c0] + (1) H+_c0[c0] + (1) Porphobilinogen_c0[c0]	fig|6666666.1394842.peg.499
rxn00609_c0	myo-Inositol-1-phosphate synthase_c0	(1) cpd00867[c0] <=> (1) cpd00079[c0]	(1) Inositol 1-phosphate_c0[c0] <=> (1) D-glucose-6-phosphate_c0[c0]	fig|6666666.1394842.peg.3231
rxn06673_c0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0	(1) cpd00022[c0] + (1) cpd12543[c0] => (1) cpd00070[c0] + (1) cpd12848[c0]	(1) Acetyl-CoA_c0[c0] + (1) Carboxybiotin-carboxyl-carrier protein_c0[c0] => (1) Malonyl-CoA_c0[c0] + (1) Holo-[carboxylase]_c0[c0]	(fig|6666666.1394842.peg.916 and fig|6666666.1394842.peg.916)
rxn07734_c0	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6'''-O-hydroxycinnamoyltransferase_c0	(1) cpd00270[c0] + (1) cpd15028[c0] <=> (1) cpd00010[c0] + (1) cpd15029[c0]	(1) Caffeoyl-CoA_c0[c0] + (1) Delphin_c0[c0] <=> (1) CoA_c0[c0] + (1) Delphinidin 3-glucoside 5-caffoyl-glucoside_c0[c0]	fig|6666666.1394842.peg.1033
rxn12646_c0	RXN0-6983.c_c0	(1) cpd00001[c0] + (1) cpd11580[c0] <=> (1) cpd00033[c0] + (1) cpd00053[c0]	(1) H2O_c0[c0] + (1) Gly-Gln_c0[c0] <=> (1) Glycine_c0[c0] + (1) L-Glutamine_c0[c0]	((fig|6666666.1394842.peg.630 or fig|6666666.1394842.peg.1951) or fig|6666666.1394842.peg.2236 or fig|6666666.1394842.peg.1772 or (fig|6666666.1394842.peg.2534 or fig|6666666.1394842.peg.400))
rxn03869_c0	Acylamide aminohydrolase_c0	(1) cpd00001[c0] + (1) cpd06707[c0] => (1) cpd00013[c0] + (1) cpd00153[c0]	(1) H2O_c0[c0] + (1) Benzamide_c0[c0] => (1) NH3_c0[c0] + (1) Benzoate_c0[c0]	fig|6666666.1394842.peg.2935
rxn05256_c0	AMP,sulfite:thioredoxin-disulfide oxidoreductase(adenosine-5'-phosphosulfate-forming)_c0	(1) cpd00193[c0] + (1) cpd11421[c0] => (1) cpd00018[c0] + (1) cpd00067[c0] + (1) cpd00081[c0] + (1) cpd11420[c0]	(1) APS_c0[c0] + (1) trdrd_c0[c0] => (1) AMP_c0[c0] + (1) H+_c0[c0] + (1) Sulfite_c0[c0] + (1) trdox_c0[c0]	(Unknown and fig|6666666.1394842.peg.2958)
rxn02175_c0	ATP:pantetheine-4'-phosphate adenylyltransferase_c0	(1) cpd00002[c0] + (1) cpd00834[c0] <=> (1) cpd00012[c0] + (1) cpd00655[c0]	(1) ATP_c0[c0] + (1) Phosphopantetheine_c0[c0] <=> (1) PPi_c0[c0] + (1) Dephospho-CoA_c0[c0]	fig|6666666.1394842.peg.1461
rxn01634_c0	5-Dehydro-4-deoxy-D-glucarate hydro-lyase (decarboxylating)_c0	(1) cpd00067[c0] + (1) cpd00515[c0] => (1) cpd00001[c0] + (1) cpd00011[c0] + (1) cpd00340[c0]	(1) H+_c0[c0] + (1) 5-Dehydro-4-deoxy-D-glucarate_c0[c0] => (1) H2O_c0[c0] + (1) CO2_c0[c0] + (1) 2,5-Dioxopentanoate_c0[c0]	fig|6666666.1394842.peg.521
rxn02835_c0	1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase_c0	(1) cpd00001[c0] + (1) cpd01777[c0] <=> (1) cpd02979[c0]	(1) H2O_c0[c0] + (1) Phosphoribosyl-AMP_c0[c0] <=> (1) phosphoribosylformiminoaicar-phosphate_c0[c0]	(fig|6666666.1394842.peg.1654 and fig|6666666.1394842.peg.2119)
rxn03440_c0	R05076_c0	(1) cpd03588[c0] <=> (1) cpd00001[c0] + (1) cpd03589[c0]	(1) L-erythro-3-Methylmalyl-CoA_c0[c0] <=> (1) H2O_c0[c0] + (1) Mesaconyl-CoA_c0[c0]	fig|6666666.1394842.peg.67
rxn01675_c0	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	(1) cpd00089[c0] + (1) cpd00357[c0] <=> (1) cpd00012[c0] + (1) cpd00626[c0]	(1) Glucose-1-phosphate_c0[c0] + (1) TTP_c0[c0] <=> (1) PPi_c0[c0] + (1) dTDPglucose_c0[c0]	fig|6666666.1394842.peg.392
rxn00146_c0	(R)-Lactate:ferricytochrome-c 2-oxidoreductase_c0	(2) cpd00109[c0] + (1) cpd00221[c0] <=> (1) cpd00020[c0] + (2) cpd00067[c0] + (2) cpd00110[c0]	(2) Cytochrome c3+_c0[c0] + (1) D-Lactate_c0[c0] <=> (1) Pyruvate_c0[c0] + (2) H+_c0[c0] + (2) Cytochrome c2+_c0[c0]	fig|6666666.1394842.peg.987
rxn08839_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)_c0	(1) cpd00001[c0] + (1) cpd15337[c0] <=> (1) cpd00067[c0] + (1) cpd00908[c0] + (1) cpd03847[c0]	(1) H2O_c0[c0] + (1) 2-Acyl-sn-glycero-3-phosphoethanolamine tetradecanoyl_c0[c0] <=> (1) H+_c0[c0] + (1) Glycerophosphoethanolamine_c0[c0] + (1) Myristic acid_c0[c0]	(fig|6666666.1394842.peg.2703 or fig|6666666.1394842.peg.1948)
rxn03536_c0	R05221_c0	(1) cpd00002[c0] + (1) cpd03918[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd03919[c0]	(1) ATP_c0[c0] + (1) Adenosyl cobinamide_c0[c0] <=> (1) ADP_c0[c0] + (1) H+_c0[c0] + (1) Adenosyl cobinamide phosphate_c0[c0]	fig|6666666.1394842.peg.2231
rxn00149_c0	pyruvaldehyde:NAD+ oxidoreductase_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd00428[c0] <=> (1) cpd00004[c0] + (1) cpd00020[c0] + (2) cpd00067[c0]	(1) H2O_c0[c0] + (1) NAD_c0[c0] + (1) 2-Oxopropanal_c0[c0] <=> (1) NADH_c0[c0] + (1) Pyruvate_c0[c0] + (2) H+_c0[c0]	fig|6666666.1394842.peg.520
rxn01575_c0	L-Isoleucine:2-oxoglutarate aminotransferase_c0	(1) cpd00024[c0] + (1) cpd00322[c0] <=> (1) cpd00023[c0] + (1) cpd00508[c0]	(1) 2-Oxoglutarate_c0[c0] + (1) L-Isoleucine_c0[c0] <=> (1) L-Glutamate_c0[c0] + (1) 3MOP_c0[c0]	fig|6666666.1394842.peg.2235
rxn05150_c0	zinc transport via ABC system_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00034[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00034[c0] + (1) cpd00067[c0]	(1) H2O_c0[c0] + (1) ATP_c0[c0] + (1) Zn2+_e0[e0] => (1) ADP_c0[c0] + (1) Phosphate_c0[c0] + (1) Zn2+_c0[c0] + (1) H+_c0[c0]	((fig|6666666.1394842.peg.2773 or fig|6666666.1394842.peg.45) and Unknown and Unknown)
rxn02009_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:L-lysine gamma-ligase (ADP-forming)_c0	(1) cpd00002[c0] + (1) cpd00039[c0] + (1) cpd00525[c0] <=> (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd02861[c0]	(1) ATP_c0[c0] + (1) L-Lysine_c0[c0] + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_c0[c0] <=> (1) ADP_c0[c0] + (1) Phosphate_c0[c0] + (1) H+_c0[c0] + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine_c0[c0]	fig|6666666.1394842.peg.965
rxn03240_c0	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase_c0	(1) cpd03113[c0] <=> (1) cpd00001[c0] + (1) cpd03126[c0]	(1) (S)-3-Hydroxyhexadecanoyl-CoA_c0[c0] <=> (1) H2O_c0[c0] + (1) (2E)-Hexadecenoyl-CoA_c0[c0]	fig|6666666.1394842.peg.67
rxn09562_c0	Guanylate kinase_c0	(1) cpd00067[c0] + (1) cpd00115[c0] + (1) cpd00126[c0] <=> (1) cpd00031[c0] + (1) cpd00177[c0]	(1) H+_c0[c0] + (1) dATP_c0[c0] + (1) GMP_c0[c0] <=> (1) GDP_c0[c0] + (1) dADP_c0[c0]	fig|6666666.1394842.peg.1758
rxn00555_c0	L-glutamine:D-fructose-6-phosphate isomerase (deaminating)_c0	(1) cpd00053[c0] + (1) cpd00072[c0] <=> (1) cpd00023[c0] + (1) cpd00288[c0]	(1) L-Glutamine_c0[c0] + (1) D-fructose-6-phosphate_c0[c0] <=> (1) L-Glutamate_c0[c0] + (1) D-Glucosamine phosphate_c0[c0]	fig|6666666.1394842.peg.2999
rxn03282_c0	R04805_c0	(1) cpd00003[c0] + (1) cpd03227[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd03228[c0]	(1) NAD_c0[c0] + (1) 5beta-Cholestane-3alpha,7alpha,26-triol_c0[c0] <=> (1) NADH_c0[c0] + (1) H+_c0[c0] + (1) 3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al_c0[c0]	(fig|6666666.1394842.peg.2949 or fig|6666666.1394842.peg.387)
rxn03080_c0	5-amino-6-(D-ribitylamino)uracil butanedionetransferase_c0	(1) cpd02882[c0] + (1) cpd11225[c0] <=> (2) cpd00001[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd02656[c0]	(1) 4--1-D-Ribitylamino-5-aminouracil_c0[c0] + (1) 3-4-dihydroxy-2-butanone4-phosphate_c0[c0] <=> (2) H2O_c0[c0] + (1) Phosphate_c0[c0] + (1) H+_c0[c0] + (1) 6-7-Dimethyl-8--1-D-ribityllumazine_c0[c0]	fig|6666666.1394842.peg.1746
rxn01044_c0	D-xylose aldose-ketose-isomerase_c0	(1) cpd00154[c0] <=> (1) cpd00259[c0]	(1) Xylose_c0[c0] <=> (1) D-Lyxulose_c0[c0]	fig|6666666.1394842.peg.937
rxn01588_c0	3-Oxo-5beta-steroid:NADP+ delta4-oxidoreductase_c0	(1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd00325[c0] <=> (1) cpd00006[c0] + (1) cpd03260[c0]	(1) NADPH_c0[c0] + (1) H+_c0[c0] + (1) Progesterone_c0[c0] <=> (1) NADP_c0[c0] + (1) 5beta-Pregnane-3,20-dione_c0[c0]	fig|6666666.1394842.peg.3289
rxn00143_c0	S-Adenosyl-L-homocysteine homocysteinylribohydrolase_c0	(1) cpd00001[c0] + (1) cpd00019[c0] <=> (1) cpd00128[c0] + (1) cpd02227[c0]	(1) H2O_c0[c0] + (1) S-Adenosyl-homocysteine_c0[c0] <=> (1) Adenine_c0[c0] + (1) S-Ribosylhomocysteine_c0[c0]	(fig|6666666.1394842.peg.2944 and fig|6666666.1394842.peg.2944)
rxn12644_c0	methionyl aminopeptidase_c0	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00035[c0] + (1) cpd00161[c0]	(1) H2O_c0[c0] + (1) ala-L-Thr-L_c0[c0] <=> (1) L-Alanine_c0[c0] + (1) L-Threonine_c0[c0]	((fig|6666666.1394842.peg.630 or fig|6666666.1394842.peg.1951) or fig|6666666.1394842.peg.2236 or fig|6666666.1394842.peg.1772 or (fig|6666666.1394842.peg.400 or fig|6666666.1394842.peg.2534))
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)_c0	(1) cpd00161[c0] => (1) cpd00013[c0] + (1) cpd00094[c0]	(1) L-Threonine_c0[c0] => (1) NH3_c0[c0] + (1) 2-Oxobutyrate_c0[c0]	fig|6666666.1394842.peg.2156
rxn08843_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)_c0	(1) cpd00001[c0] + (1) cpd15341[c0] <=> (1) cpd00067[c0] + (1) cpd00908[c0] + (1) cpd01080[c0]	(1) H2O_c0[c0] + (1) 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)_c0[c0] <=> (1) H+_c0[c0] + (1) Glycerophosphoethanolamine_c0[c0] + (1) ocdca_c0[c0]	(fig|6666666.1394842.peg.1948 or fig|6666666.1394842.peg.2703)
rxn04723_c0	R06914_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd09790[c0] <=> (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd09791[c0]	(1) H2O_c0[c0] + (1) NAD_c0[c0] + (1) 3-Methylsalicylaldehyde_c0[c0] <=> (1) NADH_c0[c0] + (2) H+_c0[c0] + (1) 3-Methylsalicylate_c0[c0]	fig|6666666.1394842.peg.305
rxn00213_c0	UTP:alpha-D-glucose-1-phosphate uridylyltransferase_c0	(1) cpd00062[c0] + (1) cpd00089[c0] <=> (1) cpd00012[c0] + (1) cpd00026[c0]	(1) UTP_c0[c0] + (1) Glucose-1-phosphate_c0[c0] <=> (1) PPi_c0[c0] + (1) UDP-glucose_c0[c0]	(fig|6666666.1394842.peg.429 or fig|6666666.1394842.peg.966)
rxn13784_c0	RNA transcription_c0	 => (1) cpd17043[c0]	 => (1) RNA transcription_c0[c0]	(Unknown and fig|6666666.1394842.peg.567 and Unknown and fig|6666666.1394842.peg.1929 and fig|6666666.1394842.peg.568 and fig|6666666.1394842.peg.1848 and Unknown and fig|6666666.1394842.peg.3331 and fig|6666666.1394842.peg.2101 and fig|6666666.1394842.peg.641 and Unknown and Unknown and Unknown)
rxn01740_c0	Shikimate:NADP+ 3-oxidoreductase_c0	(1) cpd00006[c0] + (1) cpd00383[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd01716[c0]	(1) NADP_c0[c0] + (1) Shikimate_c0[c0] <=> (1) NADPH_c0[c0] + (1) H+_c0[c0] + (1) 3-Dehydroshikimate_c0[c0]	(fig|6666666.1394842.peg.1781 or fig|6666666.1394842.peg.492 or fig|6666666.1394842.peg.1260)
rxn00588_c0	Catechol:oxygen 1,2-oxidoreductase(decyclizing)_c0	(1) cpd00007[c0] + (1) cpd00077[c0] => (2) cpd00067[c0] + (1) cpd01630[c0]	(1) O2_c0[c0] + (1) Catechol_c0[c0] => (2) H+_c0[c0] + (1) cis,cis-Muconate_c0[c0]	(fig|6666666.1394842.peg.2430 or fig|6666666.1394842.peg.2430)
rxn02642_c0	(S)-Tetrahydrocolumbamine:oxigen oxidoreductase_c0	(2) cpd00007[c0] + (1) cpd00067[c0] + (1) cpd02545[c0] <=> (2) cpd00025[c0] + (1) cpd01238[c0]	(2) O2_c0[c0] + (1) H+_c0[c0] + (1) Isocorypalmine_c0[c0] <=> (2) H2O2_c0[c0] + (1) Columbamine_c0[c0]	fig|6666666.1394842.peg.1668
rxn04841_c0	Glutathione: 15-HPETE oxidoreductase_c0	(2) cpd00042[c0] + (1) cpd03555[c0] <=> (1) cpd00001[c0] + (1) cpd00111[c0] + (1) cpd02890[c0]	(2) GSH_c0[c0] + (1) 15(S)-HPETE_c0[c0] <=> (1) H2O_c0[c0] + (1) Oxidized glutathione_c0[c0] + (1) 15(S)-HETE_c0[c0]	fig|6666666.1394842.peg.2727
rxn05655_c0	sucrose transport via PEP:Pyr PTS_c0	(1) cpd00061[c0] + (1) cpd00076[e0] <=> (1) cpd00020[c0] + (1) cpd01693[c0]	(1) Phosphoenolpyruvate_c0[c0] + (1) Sucrose_e0[e0] <=> (1) Pyruvate_c0[c0] + (1) 6-Phosphosucrose_c0[c0]	(Unknown and fig|6666666.1394842.peg.1872 and Unknown and Unknown)
rxn02314_c0	ATP:D-tagatose-6-phosphate 1-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00805[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd02371[c0]	(1) ATP_c0[c0] + (1) D-Tagatose 6-phosphate_c0[c0] <=> (1) ADP_c0[c0] + (1) H+_c0[c0] + (1) D-Tagatose 1,6-biphosphate_c0[c0]	((Unknown and (fig|6666666.1394842.peg.1874 or fig|6666666.1394842.peg.1871)) or fig|6666666.1394842.peg.1382 or fig|6666666.1394842.peg.2263)
